CODIGO;COD_PROV;COD_FAB;TIPO;MARCA;PRESENT;DETALLE;ID_PROV;PROVE;STOCK;MINIMO;PTOPEDIR;STKCONS;C_ADQ_ANT;LISTA_ANT;PCIO_ANT;CTO_ADQ;FEC_ADQ;CTO_REP;FEC_ACT;LISTA;MG_RUBRO;MARGEN;PRECIO;ALIC_IVA;PCIOT;COD_ANT;VTO;FACTURA;CREDEN;MONEDA;COTIZ;DTOMAX;DTOEFE;DTOTAR;DTOTARC;STKSUC1;STKSUC2;STKSUC3;ID_MARCA;ID_RUBRO;ID_FLIA;ID_SFLIA;SUBPROD;CODIVA;STKINI;ID_MI;STKINI1
6147;20218;;;BROWNING;;PISTOLA BROWINIG C.4.5 M.BUCK MARK 1T (20218);1217;BOWIE SRL;0;1;1;0;0;0;0;58327.5;2023-11-21;58327.5;2024-05-21;0;30;100;116655;0.21;141152.55;A3351;;0;0;PES;1;20;0;0;0;0;0;0;36;7;39;67;0;5;0;0;0
6148;20218;;;BROWNING;;PISTOLA AIRE BROWNING C.4,5 M.BUCK MARK 1T (20218);1217;BOWIE SRL;0;1;1;0;55.55;0;111.1;27.78;2024-05-21;55.55;2024-05-21;55.55;30;99.9986;111.0992;0.21;134.43;A3351;;0;0;PES;1;20;0;0;0;0;0;0;36;7;39;67;0;5;2;0;0
6191;21154;;;SAVAGE;;"CARABINA SAVAGE C.223 M.AXIS 223R 4T CAMO PAV 20"" C/MIRA (21154)";1217;BOWIE SRL;0;1;1;0;795;0;1113;795;2024-06-18;795;2024-06-18;795;30;40;1113;0.21;1346.73;A5350;;0;1;USD;1050;6;0;0;0;0;0;0;193;2;24;65;1;5;0;0;0
6389;15259;;;RUGER;;"PIST RUGER C.22LR M.MARK IV 4.4"" 10T  (43921)(15259)";1217;BOWIE SRL;0;1;1;0;950;950;1322.31;950;2025-05-23;950;2025-05-23;950;30;39.1909;1322.314;0.21;1600;15265;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;39;72;1;5;0;0;0
6505;26307;;;FENIX;;PILA FENIX M.21700 RECARG C/USB ARB-L21 5000U  (26307);1217;BOWIE SRL;0;1;1;0;27.36;0;49.59;27.36;2025-04-28;27.36;2025-04-28;27.36;30;81.2383;49.5868;0.21;60;A3072;;0;0;USD;1050;20;0;0;0;0;0;0;83;5;25;56;0;5;0;0;0
6506;23005;;;VICTORINOX;;CORTAP VICTORINOX 0.3303 WAITER ROJO 9 USOS (23005);1217;BOWIE SRL;0;1;1;0;17.54;15.97;35.54;16.67;2025-10-21;16.67;2025-10-21;16.67;30;103.2651;33.8843;0.21;41;A5315;;0;0;USD;1050;20;0;0;0;1;0;0;228;6;19;69;0;5;0;0;0
6507;23006;;;VICTORINOX;;CORTAP VICTORINOX 0.2503 RECRUIT ROJO 10 USOS  (23006);1217;BOWIE SRL;0;1;1;0;21.25;19.32;42.98;20.19;2025-10-21;20.19;2025-10-21;20.19;30;104.6672;41.3223;0.21;50;A5136;;0;0;USD;1050;20;0;0;0;2;0;0;228;6;19;69;0;5;0;0;0
6508;22010;;;VICTORINOX;;CORTAP VICTORINOX 8.2050.B1 CORTA UÑAS ROJO NAIL CLIP  (22010);1217;BOWIE SRL;0;1;1;0;12.06;0;23.97;12;2025-04-28;12;2025-04-28;12;30;99.7242;23.9669;0.21;29;A5136;;0;0;USD;1050;20;0;0;0;0;0;0;228;6;19;69;0;5;0;0;0
6509;23083;;;VICTORINOX;;CORTAP VICTORINOX 1.3603.3 SPARTAN NEGRO 12 USOS (23083);1217;BOWIE SRL;0;1;1;0;28.33;25.76;57.02;26.92;2025-10-21;26.92;2025-10-21;26.92;30;99.5505;53.719;0.21;65;A5136;;0;0;USD;1050;20;0;0;0;1;0;0;228;6;19;69;0;5;0;0;0
6510;22968;;;VICTORINOX;;CORTAP VICTORINOX 1.4613 HIKER 13 USOS (22968);1217;BOWIE SRL;0;1;1;0;35;0;70.25;33.25;2025-10-21;33.25;2025-10-21;33.25;30;101.3296;66.9421;0.21;81;A5136;;0;0;USD;1050;20;0;0;0;1;0;0;228;6;19;69;0;5;1;0;0
6511;23112;;;VICTORINOX;;CORTAP VICTORINOX 1.3713 HUNTSMAN ROJO 15 USOS (23112);1217;BOWIE SRL;0;1;1;0;47.55;43.23;95.04;45.2;2025-10-21;45.2;2025-10-21;45.2;30;101.1263;90.9091;0.21;110;A5315;;0;0;USD;1050;20;0;0;0;0;0;0;228;6;19;69;0;5;0;0;0
6512;23128;;;VICTORINOX;;CORTAP VICTORINOX 0.8416.M3 SENTINEL 5 USOS  (23128);1217;BOWIE SRL;1;1;1;0;40.66;36.96;80.99;38.63;2025-10-21;38.63;2025-10-21;38.63;30;101.1028;77.686;0.21;94;A5136;;0;0;USD;1050;20;0;0;0;1;0;0;228;6;19;69;0;5;0;0;0
6513;;;;RUGER;;CARABINA RUGER C.22LR M.10/22SPORTER ANIVERSARIO MAD.INOX 18,5;1217;BOWIE SRL;1;1;1;0;650;0;909.09;650;2025-04-24;650;2025-04-24;650;30;39.8601;909.0909;0.21;1100;A102;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;13;73;1;5;1;0;0
6517;16115;;;HUGLU;;"ESC HUGLU C.12 M.G12 28"" SEMIAUTO MADERA PAVON( 16115)";1217;BOWIE SRL;0;1;1;0;512;0;719.01;512;2025-05-07;512;2025-05-07;512;30;40.4313;719.0083;0.21;870;A4781;;0;1;USD;1050;6;0;0;0;0;0;0;261;2;21;72;1;5;0;0;0
6518;16116;;;HUGLU;;"ESC HUGLU C.12 M.G12 28"" SEMIAUTO SINT PAVON( 16116)";1217;BOWIE SRL;1;1;1;0;490;0;685.95;490;2025-05-07;490;2025-05-07;490;30;39.9899;685.9504;0.21;830;A4781;;0;1;USD;1050;6;0;0;0;0;0;0;261;2;21;72;1;5;1;0;0
6520;16130;;;HUGLU;;"ESC HUGLU C.12 M.103 28"" SUPERP MADERA PAVON 5CH ( 16130)";1217;BOWIE SRL;-1;1;1;0;995;512;1396.69;995;2025-05-19;995;2025-05-19;995;30;40.3713;1396.6942;0.21;1690;A4781;;0;1;USD;1050;6;0;0;0;1;0;0;261;2;21;30;1;5;0;0;0
6521;151191;;;RUGER;;CARABINA RUGER C.9MM M.PC9 SEMIAUTO REFRIGERADA SINT PAV 16 19140 (151191);1217;BOWIE SRL;1;1;1;0;1600;0;2231.41;1600;2025-05-19;1600;2025-05-19;1600;30;39.4602;2231.3636;0.21;2699.95;A4070;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;13;73;1;5;1;0;0
